Player,Conference,Team,Position,offenseDefense,Salary,Bonus,Total
Jason Taylor,AFC,Dolphins,DE,Defense,1027000,3700,1030700
Lamar Thomas,AFC,Dolphins,WR,Offense,550000,91700,641700
Thurman Thomas,AFC,Dolphins,RB,Offense,440000,250000,690000
Zach Thomas,AFC,Dolphins,LB,Defense,413000,1914300,2327300
Matt Turk,AFC,Dolphins,P/K,Offense,500000,1200,501200
Todd Wade,AFC,Dolphins,OL,Offense,193000,261800,454800
Brian Walker,AFC,Dolphins,S,Defense,450000,100000,550000
Jed Weaver,AFC,Dolphins,TE,Offense,275000,0,275000
Richmond Webb,AFC,Dolphins,OL,Offense,4140000,3800,4143800
Jerry Wilson,AFC,Dolphins,CB,Defense,475000,100000,575000
Joe Andruzzi,AFC,Patriots,OL,Offense,324900,0,324900
Bruce Armstrong,AFC,Patriots,OL,Offense,440000,0,440000
Terrance Beadles,AFC,Patriots,OL,Offense,111000,2000,113000
Michael Bishop,AFC,Patriots,QB,Offense,275000,12500,287500
Drew Bledsoe,AFC,Patriots,QB,Offense,6340000,2202700,8542700
Tom Brady,AFC,Patriots,QB,Offense,193000,12800,205800
Troy Brown,AFC,Patriots,WR,Offense,450000,554800,1004800
Tedy Bruschi,AFC,Patriots,LB,Defense,450000,504800,954800
Tony Carter,AFC,Patriots,RB,Offense,815000,264800,1079800
Matt Chatham,AFC,Patriots,LB,Defense,193000,0,193000
Shockmain Davis,AFC,Patriots,WR,Offense,193000,4000,197000
Chad Eaton,AFC,Patriots,DT,Defense,617500,379800,997300
Robert Edwards,AFC,Patriots,RB,Offense,0,620000,620000
Chris Eitzmann,AFC,Patriots,TE,Offense,193000,7500,200500
John Eskridge,AFC,Patriots,LB,Defense,111000,0,111000
Kevin Faulk,AFC,Patriots,RB,Offense,275000,303800,578800
John Friesz,AFC,Patriots,QB,Offense,525000,204800,729800
Tony George,AFC,Patriots,S,Defense,275000,117100,392100
Terry Glenn,AFC,Patriots,WR,Offense,441400,833200,1274600
Reggie Grimes,AFC,Patriots,DE,Defense,193000,2500,195500
Bobby Hamilton,AFC,Patriots,DE,Defense,413000,150000,563000
Tony Hamler,AFC,Patriots,WR,Offense,111000,30000,141000
Antwan Harris,AFC,Patriots,CB,Defense,193000,17500,210500
Rob Holmberg,AFC,Patriots,LB,Defense,440000,7500,447500
Sale Isaia,AFC,Patriots,OL,Offense,275000,0,275000
Garrett Johnson,AFC,Patriots,DT,Defense,193000,0,193000
Lee Johnson,AFC,Patriots,P/K,Offense,450000,233300,683300
Olrick Johnson,AFC,Patriots,LB,Defense,275000,0,275000
Ted Johnson,AFC,Patriots,LB,Defense,440000,2476100,2916100
Tebucky Jones,AFC,Patriots,S,Defense,445700,629800,1075500
Andy Katzenmoyer,AFC,Patriots,LB,Defense,275000,698500,973500
Adrian Klemm,AFC,Patriots,OL,Offense,300000,245000,545000
Max Lane,AFC,Patriots,OL,Offense,440000,1327100,1767100
Antonio Langham,AFC,Patriots,CB,Defense,440000,2500,442500
Ty Law,AFC,Patriots,CB,Defense,1400000,2633400,4033400
Dane Looker,AFC,Patriots,WR,Offense,193000,0,193000
Willie McGinest,AFC,Patriots,DE,Defense,440000,3316500,3756500
Lawyer Milloy,AFC,Patriots,S,Defense,450000,911900,1361900
Brandon Mitchell,AFC,Patriots,LB,Defense,472000,4800,476800
David Nugent,AFC,Patriots,DT,Defense,193000,12000,205000
Patrick Pass,AFC,Patriots,RB,Offense,193000,0,193000
Lonie Paxton,AFC,Patriots,OL,Offense,193000,0,193000
Josh Rawlings,AFC,Patriots,OL,Offense,193000,15800,208800
J.R. Redmond,AFC,Patriots,RB,Offense,193000,156000,349000
Greg Robinson-Randall,AFC,Patriots,OL,Offense,193000,63800,256800
Rod Rutledge,AFC,Patriots,TE,Offense,358000,185800,543800
Kato Serwanga,AFC,Patriots,CB,Defense,358000,4800,362800
Harold Shaw,AFC,Patriots,RB,Offense,358000,21500,379500
Tony Simmons,AFC,Patriots,WR,Offense,366500,192300,558800
Chris Slade,AFC,Patriots,LB,Defense,440000,2033800,2473800
Otis Smith,AFC,Patriots,CB,Defense,440000,0,440000
Gregory Spires,AFC,Patriots,DE,Defense,358000,145800,503800
Henry Thomas,AFC,Patriots,DT,Defense,1000000,1400000,2400000
Adam Vinatieri,AFC,Patriots,P/K,Offense,425000,454800,879800
Larry Whigham,AFC,Patriots,S,Defense,500000,219800,719800
Grant Williams,AFC,Patriots,OL,Offense,413000,404800,817800
Damien Woody,AFC,Patriots,OL,Offense,275000,811300,1086300
John Abraham,AFC,Jets,LB,Defense,740000,400000,1140000
Maurice Anderson,AFC,Jets,DT,Defense,193000,0,193000
Richie Anderson,AFC,Jets,RB,Offense,703300,174400,877700
Bradford Banta,AFC,Jets,TE,Offense,440000,0,440000
Anthony Becht,AFC,Jets,TE,Offense,480000,390000,870000
Dorian Boose,AFC,Jets,DE,Defense,358000,182700,540700
Shane Burton,AFC,Jets,DE,Defense,484000,125000,609000
Wayne Chrebet,AFC,Jets,WR,Offense,440000,1053300,1493300
Marcus Coleman,AFC,Jets,CB,Defense,413000,812000,1225000
Laveraneus Coles,AFC,Jets,WR,Offense,193000,150000,343000
Bryan Cox,AFC,Jets,LB,Defense,600000,450000,1050000
John Elliott,AFC,Jets,OL,Offense,414100,60000,474100
Shaun Ellis,AFC,Jets,DE,Defense,800000,435000,1235000
Jason Fabini,AFC,Jets,OL,Offense,358000,83100,441100
James Farrior,AFC,Jets,LB,Defense,1126000,807000,1933000
Jason Ferguson,AFC,Jets,DT,Defense,1027000,3400,1030400
Scott Frost,AFC,Jets,S,Defense,358000,142300,500300
Aaron Glenn,AFC,Jets,CB,Defense,440000,1955200,2395200
Dwayne Gordon,AFC,Jets,LB,Defense,700000,475000,1175000
Cornell Green,AFC,Jets,OL,Offense,193000,0,193000
Victor Green,AFC,Jets,S,Defense,1800000,826700,2626700
John Hall,AFC,Jets,P/K,Offense,385000,303400,688400
Chris Hayes,AFC,Jets,S,Defense,472000,3100,475100
Windrell Hayes,AFC,Jets,WR,Offense,193000,36700,229700
Kerry Jenkins,AFC,Jets,OL,Offense,385000,3200,388200
Marvin Jones,AFC,Jets,LB,Defense,2200000,583300,2783300
Courtney Ledyard,AFC,Jets,LB,Defense,193000,1500,194500
Mo Lewis,AFC,Jets,LB,Defense,2187000,3286600,5473600
Ernie Logan,AFC,Jets,DT,Defense,550000,50000,600000
Greg Lotysz,AFC,Jets,OL,Offense,111000,6000,117000
David Loverne,AFC,Jets,OL,Offense,275000,116500,391500
Ray Lucas,AFC,Jets,QB,Offense,385000,1400,386400
Rick Lyle,AFC,Jets,DE,Defense,575000,160000,735000
J.P. Machado,AFC,Jets,OL,Offense,275000,18600,293600
Curtis Martin,AFC,Jets,RB,Offense,440000,3093500,3533500
Kevin Mawae,AFC,Jets,OL,Offense,440000,2395000,2835000
Ray Mickens,AFC,Jets,CB,Defense,425000,654800,1079800
Earthwind Moreland,AFC,Jets,CB,Defense,193000,0,193000
Jake Moreland,AFC,Jets,TE,Offense,193000,0,193000
Eric Ogbogu,AFC,Jets,DE,Defense,358000,3200,361200
Bernie Parmalee,AFC,Jets,RB,Offense,440000,153200,593200
Chad Pennington,AFC,Jets,QB,Offense,193000,826200,1019200
Roman Phifer,AFC,Jets,LB,Defense,1600000,1700000,3300000
Tony Scott,AFC,Jets,S,Defense,193000,24000,217000
Chad Slaughter,AFC,Jets,OL,Offense,193000,0,193000
Jerald Sowell,AFC,Jets,RB,Offense,472000,36500,508500
Dwight Stone,AFC,Jets,WR,Offense,440000,0,440000
Vinny Testaverde,AFC,Jets,QB,Offense,440000,2074000,2514000
Randy Thomas,AFC,Jets,OL,Offense,276600,203200,479800
Tom Tupa,AFC,Jets,P/K,Offense,440000,688300,1128300
Dedric Ward,AFC,Jets,WR,Offense,472000,3200,475200
Jason Wiltz,AFC,Jets,DT,Defense,275000,80700,355700
Ryan Young,AFC,Jets,OL,Offense,275000,14200,289200
Sam Adams,AFC,Ravens,DT,Defense,500000,625600,1125600
Obafemi Ayanbadejo,AFC,Ravens,RB,Offense,358000,1000,359000
Robert Bailey,AFC,Ravens,CB,Defense,440000,81000,521000
Tony Banks,AFC,Ravens,QB,Offense,1750000,513100,2263100
Orlando Bobo,AFC,Ravens,OL,Offense,385000,1000,386000
Peter Boulware,AFC,Ravens,LB,Defense,1400000,1401600,2801600
O.J. Brigance,AFC,Ravens,LB,Defense,440000,0,440000
Cornell Brown,AFC,Ravens,LB,Defense,472000,1600,473600
Rob Burnett,AFC,Ravens,DE,Defense,500000,1125300,1625300
Ben Coates,AFC,Ravens,TE,Offense,500000,250000,750000
Lional Dalton,AFC,Ravens,DT,Defense,358000,4200,362200
Anthony Davis,AFC,Ravens,LB,Defense,440000,0,440000
Bill Davis,AFC,Ravens,WR,Offense,450000,75600,525600
Trent Dilfer,AFC,Ravens,QB,Offense,450000,550300,1000300
Pedro Edison,AFC,Ravens,TE,Offense,111000,0,111000
Chuck Evans,AFC,Ravens,RB,Offense,440000,0,440000
Mike Flynn,AFC,Ravens,OL,Offense,385000,1000,386000
Spencer Folau,AFC,Ravens,OL,Offense,500000,104200,604200
Sam Gash,AFC,Ravens,RB,Offense,500000,100000,600000
Corey Harris,AFC,Ravens,S,Defense,450000,75300,525300
Kim Herring,AFC,Ravens,S,Defense,472000,2200,474200
Priest Holmes,AFC,Ravens,RB,Offense,472000,1000,473000
John Hudson,AFC,Ravens,OL,Offense,446600,0,446600
Qadry Ismail,AFC,Ravens,WR,Offense,500000,325300,825300
Brad Jackson,AFC,Ravens,LB,Defense,275000,4800,279800
Patrick Johnson,AFC,Ravens,WR,Offense,390000,226600,616600
John Jones,AFC,Ravens,TE,Offense,193000,2300,195300
Jamal Lewis,AFC,Ravens,RB,Offense,792000,1086000,1878000
Jermaine Lewis,AFC,Ravens,WR,Offense,440000,1228400,1668400
Ray Lewis,AFC,Ravens,LB,Defense,750000,2561900,3311900
Clarence Love,AFC,Ravens,CB,Defense,275000,4200,279200
Chris McAlister,AFC,Ravens,CB,Defense,581900,938800,1520700
Michael McCrary,AFC,Ravens,DE,Defense,500000,2696400,3196400
Anthony Mitchell,AFC,Ravens,LB,Defense,275000,0,275000
Jeff Mitchell,AFC,Ravens,OL,Offense,1027000,600,1027600
Edwin Mulitalo,AFC,Ravens,OL,Offense,275000,9200,284200
Marcus Nash,AFC,Ravens,WR,Offense,358000,0,358000
Jonathan Ogden,AFC,Ravens,OL,Offense,500000,3521600,4021600
Anthony Poindexter,AFC,Ravens,S,Defense,275000,4800,279800
Chris Redman,AFC,Ravens,QB,Offense,193000,155000,348000
Kyle Richardson,AFC,Ravens,P/K,Offense,385000,3500,388500
Shannon Sharpe,AFC,Ravens,TE,Offense,500000,1125300,1625300
Jamie Sharper,AFC,Ravens,LB,Defense,1027000,2600,1029600
Tony Siragusa,AFC,Ravens,DT,Defense,500000,825000,1325000
Duane Starks,AFC,Ravens,CB,Defense,922500,776300,1698800
Brandon Stokley,AFC,Ravens,WR,Offense,275000,19200,294200
Matt Stover,AFC,Ravens,P/K,Offense,440000,250300,690300
Harry Swayne,AFC,Ravens,OL,Offense,750000,1750300,2500300
Travis Taylor,AFC,Ravens,WR,Offense,328000,1000000,1328000
Adalius Thomas,AFC,Ravens,DE,Defense,193000,19000,212000
James Trapp,AFC,Ravens,CB,Defense,450000,76300,526300
Kipp Vickers,AFC,Ravens,OL,Offense,440000,79200,519200
Frank Wainright,AFC,Ravens,TE,Offense,500000,103500,603500
Keith Washington,AFC,Ravens,DE,Defense,450000,51600,501600
Larry Webster,AFC,Ravens,DT,Defense,181200,530100,711300
Calvin Wilkinson,AFC,Ravens,LB,Defense,111000,1000,112000
Sammy Williams,AFC,Ravens,OL,Offense,275000,3800,278800
Rod Woodson,AFC,Ravens,S,Defense,800000,2167000,2967000
Willie Anderson,AFC,Bengals,OL,Offense,490000,3037000,3527000
Jo Juan Armour,AFC,Bengals,LB,Defense,275000,0,275000
Michael Bankston,AFC,Bengals,DE,Defense,1975000,501200,2476200
Tom Barndt,AFC,Bengals,DT,Defense,1000000,662900,1662900
Michael Basnight,AFC,Bengals,RB,Offense,175500,2200,177700
Marco Battaglia,AFC,Bengals,TE,Offense,550000,266700,816700
Robert Bean,AFC,Bengals,CB,Defense,193000,38000,231000
Brandon Bennett,AFC,Bengals,RB,Offense,275000,2500,277500
Vaughn Booker,AFC,Bengals,DE,Defense,1000000,660600,1660600
Rich Braham,AFC,Bengals,OL,Offense,1000000,501100,1501100
Steve Bush,AFC,Bengals,RB,Offense,472000,1100,473100
Chris Carter,AFC,Bengals,S,Defense,850000,0,850000
Tom Carter,AFC,Bengals,CB,Defense,2200000,3500,2203500
John Copeland,AFC,Bengals,DT,Defense,1700000,1150000,2850000
Scott Covington,AFC,Bengals,QB,Offense,275000,10300,285300
Canute Curtis,AFC,Bengals,LB,Defense,450000,35200,485200
Corey Dillon,AFC,Bengals,RB,Offense,2000000,1000000,3000000
Ron Dugans,AFC,Bengals,WR,Offense,193000,164000,357000
Danny Farmer,AFC,Bengals,WR,Offense,193000,0,193000
Charles Fisher,AFC,Bengals,CB,Defense,250000,395700,645700
Steve Foley,AFC,Bengals,LB,Defense,358000,121500,479500
Oliver Gibson,AFC,Bengals,DT,Defense,850000,1395100,2245100
Mike Goff,AFC,Bengals,OL,Offense,358000,121500,479500
Billy Granville,AFC,Bengals,LB,Defense,472000,1200,473200
Damon Griffin,AFC,Bengals,WR,Offense,275000,1800,276800
