Player,Conference,Team,Position,offenseDefense,Salary,Bonus,Total
Jeff Graham,AFC,Chargers,WR,Offense,500000,1400400,1900400
Jim Harbaugh,AFC,Chargers,QB,Offense,500000,1254000,1754000
Rodney Harrison,AFC,Chargers,S,Defense,450000,1947300,2397300
Steve Heiden,AFC,Chargers,TE,Offense,275000,146500,421500
Eric Hill,AFC,Chargers,LB,Defense,500000,335000,835000
Deon Humphrey,AFC,Chargers,LB,Defense,193000,0,193000
Greg Jackson,AFC,Chargers,S,Defense,440000,0,440000
Kendyl Jacox,AFC,Chargers,OL,Offense,358000,4100,362100
DeRon Jenkins,AFC,Chargers,CB,Defense,450000,1200800,1650800
Ronney Jenkins,AFC,Chargers,WR,Offense,193000,3800,196800
Ray Lee Johnson,AFC,Chargers,DE,Defense,1000000,1649400,2649400
Freddie Jones,AFC,Chargers,TE,Offense,750000,302200,1052200
Reggie Jones,AFC,Chargers,WR,Offense,275000,3300,278300
Ryan Leaf,AFC,Chargers,QB,Offense,358000,2375600,2733600
Darryll Lewis,AFC,Chargers,CB,Defense,500000,1101700,1601700
Fred McCrary,AFC,Chargers,RB,Offense,385000,102500,487500
Damion McIntosh,AFC,Chargers,OL,Offense,193000,133300,326300
Darren Mickell,AFC,Chargers,DE,Defense,475000,25000,500000
Mike Mohring,AFC,Chargers,DT,Defense,358000,4500,362500
Moses Moreno,AFC,Chargers,QB,Offense,358000,4600,362600
Vaughn Parker,AFC,Chargers,OL,Offense,500000,2853800,3353800
John Parrella,AFC,Chargers,DT,Defense,1500000,621400,2121400
Jason Perry,AFC,Chargers,S,Defense,275000,91100,366100
John Reeves,AFC,Chargers,LB,Defense,275000,10000,285000
Raleigh Roundtree,AFC,Chargers,OL,Offense,472000,4200,476200
Orlando Ruff,AFC,Chargers,LB,Defense,275000,9300,284300
Reggie Rusk,AFC,Chargers,CB,Defense,358000,1900,359900
Junior Seau,AFC,Chargers,LB,Defense,2253300,1784000,4037300
Antoine Simpson,AFC,Chargers,DT,Defense,275000,0,275000
Neil Smith,AFC,Chargers,DE,Defense,440000,50000,490000
Shannon Taylor,AFC,Chargers,LB,Defense,193000,0,193000
Jason Thomas,AFC,Chargers,OL,Offense,193000,0,193000
Steve Tovar,AFC,Chargers,LB,Defense,440000,0,440000
Scott Turner,AFC,Chargers,CB,Defense,440000,2200,442200
Jamal Williams,AFC,Chargers,DT,Defense,467000,139200,606200
Shaun Alexander,AFC,Seahawks,RB,Offense,193000,775000,968000
Karsten Bailey,AFC,Seahawks,WR,Offense,275000,78500,353500
Frank Beede,AFC,Seahawks,OL,Offense,413000,29200,442200
Marcus Bell,AFC,Seahawks,LB,Defense,193000,87800,280800
Jay Bellamy,AFC,Seahawks,S,Defense,645000,554500,1199500
Fabien Bownes,AFC,Seahawks,WR,Offense,385000,2200,387200
Chad Brown,AFC,Seahawks,LB,Defense,482000,2721400,3203400
Reggie Brown,AFC,Seahawks,RB,Offense,450000,200000,650000
Ike Charlton,AFC,Seahawks,CB,Defense,193000,262000,455000
Antonio Cochran,AFC,Seahawks,DE,Defense,275000,85300,360300
J.P. Darche,AFC,Seahawks,OL,Offense,193000,0,193000
Sean Dawkins,AFC,Seahawks,WR,Offense,440000,140000,580000
Dwan Epps,AFC,Seahawks,LB,Defense,111000,4000,115000
Christian Fauria,AFC,Seahawks,TE,Offense,1250000,584300,1834300
Jeff Feagles,AFC,Seahawks,P/K,Offense,665000,230200,895200
Rufus French,AFC,Seahawks,TE,Offense,193000,4800,197800
Chris Gray,AFC,Seahawks,OL,Offense,440000,601000,1041000
James Hill,AFC,Seahawks,TE,Offense,193000,7300,200300
John Hilliard,AFC,Seahawks,DT,Defense,193000,18000,211000
Brock Huard,AFC,Seahawks,QB,Offense,275000,140200,415200
Darrell Jackson,AFC,Seahawks,WR,Offense,193000,143300,336300
Walter Jones,AFC,Seahawks,OL,Offense,400000,1873600,2273600
Kerry Joseph,AFC,Seahawks,S,Defense,472000,1000,473000
Isiah Kacyvenski,AFC,Seahawks,LB,Defense,193000,86300,279300
Maurice Kelly,AFC,Seahawks,S,Defense,193000,0,193000
Pete Kendall,AFC,Seahawks,OL,Offense,720000,365000,1085000
Cortez Kennedy,AFC,Seahawks,DT,Defense,1885000,2807500,4692500
Lamar King,AFC,Seahawks,DE,Defense,275000,722200,997200
Jon Kitna,AFC,Seahawks,QB,Offense,1371000,2600,1373600
George Koonce,AFC,Seahawks,LB,Defense,440000,0,440000
Matt LaBounty,AFC,Seahawks,DE,Defense,550000,147700,697700
Rian Lindell,AFC,Seahawks,P/K,Offense,193000,1300,194300
James Logan,AFC,Seahawks,LB,Defense,600000,103200,703200
Derrick Mayes,AFC,Seahawks,WR,Offense,500000,583900,1083900
Chris McIntosh,AFC,Seahawks,OL,Offense,193000,710000,903000
Itula Mili,AFC,Seahawks,TE,Offense,358000,2200,360200
Paul Miranda,AFC,Seahawks,CB,Defense,275000,0,275000
Deshone Myles,AFC,Seahawks,LB,Defense,358000,85200,443200
Chad Overhauser,AFC,Seahawks,OL,Offense,275000,800,275800
Riddick Parker,AFC,Seahawks,DT,Defense,472000,2900,474900
Charlie Rogers,AFC,Seahawks,RB,Offense,275000,33900,308900
Anthony Simmons,AFC,Seahawks,LB,Defense,554800,601600,1156400
Michael Sinclair,AFC,Seahawks,DE,Defense,500000,1590900,2090900
Shawn Springs,AFC,Seahawks,CB,Defense,1800000,1001000,2801000
Rahmaan Streater,AFC,Seahawks,DE,Defense,193000,700,193700
Mack Strong,AFC,Seahawks,RB,Offense,450000,53200,503200
Tim Terry,AFC,Seahawks,LB,Defense,275000,0,275000
Robbie Tobeck,AFC,Seahawks,OL,Offense,500000,204200,704200
Reggie Tongue,AFC,Seahawks,S,Defense,440000,702200,1142200
Fred Vinson,AFC,Seahawks,CB,Defense,286300,20000,306300
Tim Watson,AFC,Seahawks,DT,Defense,111000,19300,130300
Ricky Watters,AFC,Seahawks,RB,Offense,1000000,2000600,3000600
Floyd Wedderburn,AFC,Seahawks,OL,Offense,275000,37500,312500
Todd Weiner,AFC,Seahawks,OL,Offense,358000,268300,626300
James Williams,AFC,Seahawks,WR,Offense,193000,21700,214700
Willie Williams,AFC,Seahawks,CB,Defense,440000,1865200,2305200
Cedric Woodard,AFC,Seahawks,DT,Defense,193000,800,193800
David Barrett,NFC,Cardinals,CB,Defense,193000,96300,289300
Tommy Bennett,NFC,Cardinals,S,Defense,413000,0,413000
Cary Blanchard,NFC,Cardinals,P/K,Offense,440000,25600,465600
David Boston,NFC,Cardinals,WR,Offense,727500,950000,1677500
Ethan Brooks,NFC,Cardinals,OL,Offense,385000,600,385600
Dave Brown,NFC,Cardinals,QB,Offense,650000,200600,850600
Tom Burke,NFC,Cardinals,DE,Defense,275000,120300,395300
Corey Chavous,NFC,Cardinals,CB,Defense,472000,253900,725900
Jon Clark,NFC,Cardinals,OL,Offense,189000,1600,190600
Anthony Clement,NFC,Cardinals,OL,Offense,492000,241200,733200
Mac Cody,NFC,Cardinals,WR,Offense,275000,3200,278200
No Davidds-Garrido,NFC,Cardinals,OL,Offense,537500,138800,676300
Russell Davis,NFC,Cardinals,DT,Defense,275000,0,275000
Chris Dishman,NFC,Cardinals,OL,Offense,472000,1000,473000
James Folston,NFC,Cardinals,LB,Defense,440000,41600,481600
Rob Fredrickson,NFC,Cardinals,LB,Defense,1025000,478500,1503500
Chris Gedney,NFC,Cardinals,TE,Offense,440000,3500,443500
Chris Greisen,NFC,Cardinals,QB,Offense,275000,11300,286300
Mike Gruttadauria,NFC,Cardinals,OL,Offense,1725000,428500,2153500
Terry Hardy,NFC,Cardinals,TE,Offense,358000,35700,393700
Lester Holmes,NFC,Cardinals,OL,Offense,2000000,875600,2875600
Jabari Issa,NFC,Cardinals,DT,Defense,193000,21700,214700
Martay Jenkins,NFC,Cardinals,WR,Offense,275000,4200,279200
Thomas Jones,NFC,Cardinals,RB,Offense,306000,1425000,1731000
Matt Joyce,NFC,Cardinals,OL,Offense,650000,226300,876300
Trey Junkin,NFC,Cardinals,TE,Offense,440000,4500,444500
Tommy Knight,NFC,Cardinals,CB,Defense,1046400,747200,1793600
Kwamie Lassiter,NFC,Cardinals,S,Defense,900000,302900,1202900
Justin Lucas,NFC,Cardinals,CB,Defense,193000,4800,197800
Mark Maddox,NFC,Cardinals,LB,Defense,550000,0,550000
Joel Makovicka,NFC,Cardinals,RB,Offense,275000,83600,358600
J.J. McCleskey,NFC,Cardinals,S,Defense,533300,166700,700000
Tony McCoy,NFC,Cardinals,DT,Defense,575000,225600,800600
Dennis McKinley,NFC,Cardinals,RB,Offense,275000,18500,293500
Ronald McKinnon,NFC,Cardinals,LB,Defense,1500000,501000,2001000
Tywan Mitchell,NFC,Cardinals,WR,Offense,193000,600,193600
Rob Moore,NFC,Cardinals,WR,Offense,3000000,1250600,4250600
Brad Ottis,NFC,Cardinals,DE,Defense,525000,125300,650300
Michael Pittman,NFC,Cardinals,RB,Offense,358000,85000,443000
Scott Player,NFC,Cardinals,P/K,Offense,358000,10800,368800
Jake Plummer,NFC,Cardinals,QB,Offense,3000000,2942700,5942700
Jacoby Rhinehart,NFC,Cardinals,CB,Defense,275000,21800,296800
Simeon Rice,NFC,Cardinals,DE,Defense,4253000,0,4253000
Johnny Rutledge,NFC,Cardinals,LB,Defense,275000,210500,485500
Frank Sanders,NFC,Cardinals,WR,Offense,2500000,700600,3200600
Sekou Sanyika,NFC,Cardinals,LB,Defense,193000,10700,203700
Yusuf Scott,NFC,Cardinals,OL,Offense,275000,29800,304800
Corey Sears,NFC,Cardinals,DT,Defense,358000,600,358600
L.J. Shelton,NFC,Cardinals,OL,Offense,350000,600300,950300
Mark Smith,NFC,Cardinals,DT,Defense,1027000,0,1027000
Jason Starkey,NFC,Cardinals,OL,Offense,193000,0,193000
Rashod Swinger,NFC,Cardinals,DT,Defense,400000,600,400600
Barron Tanner,NFC,Cardinals,DT,Defense,385000,25000,410000
Jay Tant,NFC,Cardinals,TE,Offense,193000,31300,224300
Raynoch Thompson,NFC,Cardinals,LB,Defense,335000,250000,585000
Pat Tillman,NFC,Cardinals,S,Defense,358000,3500,361500
Mao Tosi,NFC,Cardinals,DT,Defense,193000,37000,230000
Andre Wadsworth,NFC,Cardinals,DE,Defense,358000,1749100,2107100
"Zack ""Blade"" Walz",NFC,Cardinals,LB,Defense,358000,600,358600
Aeneas Williams,NFC,Cardinals,CB,Defense,2200000,1200600,3400600
Flozell Adams,NFC,Cowboys,OL,Offense,450000,224100,674100
Troy Aikman,NFC,Cowboys,QB,Offense,2250000,3666500,5916500
Larry Allen,NFC,Cowboys,OL,Offense,440000,2216900,2656900
Joe Bowden,NFC,Cowboys,LB,Defense,440000,180000,620000
Chris Brazzell,NFC,Cowboys,WR,Offense,275000,3200,278200
Dexter Coakley,NFC,Cowboys,LB,Defense,1027000,3200,1030200
Randall Cunningham,NFC,Cowboys,QB,Offense,500000,166700,666700
Jorge Diaz,NFC,Cowboys,OL,Offense,413000,113500,526500
Mario Edwards,NFC,Cowboys,CB,Defense,193000,20000,213000
Ebenezer Ekuban,NFC,Cowboys,DE,Defense,275000,807600,1082600
Greg Ellis,NFC,Cowboys,DE,Defense,358000,1148100,1506100
Ben Fricke,NFC,Cowboys,OL,Offense,275000,2900,277900
Joey Galloway,NFC,Cowboys,WR,Offense,440000,1785700,2225700
Kelvin Garmon,NFC,Cowboys,OL,Offense,193000,3200,196200
Dwayne Goodrich,NFC,Cowboys,CB,Defense,250000,250000,500000
Orantes Grant,NFC,Cowboys,LB,Defense,193000,10000,203000
Darren Hambrick,NFC,Cowboys,LB,Defense,358000,36900,394900
Jackie Harris,NFC,Cowboys,TE,Offense,450000,275000,725000
Duane Hawthorne,NFC,Cowboys,CB,Defense,275000,1000,276000
Dale Hellestrae,NFC,Cowboys,OL,Offense,440000,0,440000
Chad Hennings,NFC,Cowboys,DT,Defense,445000,986800,1431800
Damon Hodge,NFC,Cowboys,WR,Offense,193000,0,193000
Raghib Ismail,NFC,Cowboys,WR,Offense,500000,716500,1216500
Al Jackson,NFC,Cowboys,OL,Offense,193000,6700,199700
Sean Key,NFC,Cowboys,S,Defense,111000,2500,113500
Micah Knorr,NFC,Cowboys,P/K,Offense,193000,0,193000
David LaFleur,NFC,Cowboys,TE,Offense,822500,489900,1312400
Kareem Larrimore,NFC,Cowboys,CB,Defense,193000,93300,286300
Leon Lett,NFC,Cowboys,DT,Defense,2500000,903200,3403200
Mike Lucky,NFC,Cowboys,TE,Offense,275000,11200,286200
Wane McGarity,NFC,Cowboys,WR,Offense,275000,82200,357200
James McKnight,NFC,Cowboys,WR,Offense,440000,291400,731400
Ryan McNeil,NFC,Cowboys,CB,Defense,450000,312600,762600
Greg Myers,NFC,Cowboys,S,Defense,413000,0,413000
Michael Myers,NFC,Cowboys,DT,Defense,358000,84600,442600
Dat Nguyen,NFC,Cowboys,LB,Defense,275000,119900,394900
Brandon Noble,NFC,Cowboys,DT,Defense,275000,6700,281700
Solomon Page,NFC,Cowboys,OL,Offense,275000,202600,477600
Izell Reese,NFC,Cowboys,S,Defense,358000,15900,373900
Tim Seder,NFC,Cowboys,P/K,Offense,193000,0,193000
Emmitt Smith,NFC,Cowboys,RB,Offense,440000,3234200,3674200
Phillippi Sparks,NFC,Cowboys,CB,Defense,450000,310000,760000
Alonzo Spellman,NFC,Cowboys,DE,Defense,450000,460600,910600
Mark Stepnoski,NFC,Cowboys,OL,Offense,440000,1018200,1458200
Clint Stoerner,NFC,Cowboys,QB,Offense,193000,0,193000
George Teague,NFC,Cowboys,S,Defense,450000,152200,602200
Robert Thomas,NFC,Cowboys,RB,Offense,358000,2900,360900
Brandon Tolbert,NFC,Cowboys,LB,Defense,134000,2900,136900
Jason Tucker,NFC,Cowboys,WR,Offense,275000,2900,277900
Dimitri Underwood,NFC,Cowboys,DE,Defense,193000,3200,196200
Michael Wiley,NFC,Cowboys,RB,Offense,193000,36000,229000
Charlie Williams,NFC,Cowboys,CB,Defense,440000,2900,442900
Erik Williams,NFC,Cowboys,OL,Offense,1900000,1437400,3337400
Darren Woodson,NFC,Cowboys,S,Defense,440000,2561600,3001600
Barry Wortham,NFC,Cowboys,LB,Defense,440000,1300,441300
Anthony Wright,NFC,Cowboys,QB,Offense,275000,0,275000
Peppi Zellner,NFC,Cowboys,DE,Defense,275000,58900,333900
Jessie Armstead,NFC,Giants,LB,Defense,440000,1832900,2272900
Tiki Barber,NFC,Giants,RB,Offense,472000,3800,475800
Micheal Barrow,NFC,Giants,LB,Defense,440000,712600,1152600
Sean Bennett,NFC,Giants,RB,Offense,275000,88500,363500
Chris Bober,NFC,Giants,OL,Offense,193000,0,193000
Lomas Brown,NFC,Giants,OL,Offense,440000,53300,493300
Ralph Brown,NFC,Giants,CB,Defense,135100,36300,171400
Dan Campbell,NFC,Giants,TE,Offense,275000,137100,412100
Mike Cherry,NFC,Giants,QB,Offense,472000,3400,475400
Kerry Collins,NFC,Giants,QB,Offense,440000,1773500,2213500
Greg Comella,NFC,Giants,RB,Offense,358000,3800,361800
Howard Cross,NFC,Giants,TE,Offense,440000,153400,593400
Brad Daluiso,NFC,Giants,P/K,Offense,440000,368900,808900
Thabiti Davis,NFC,Giants,WR,Offense,193000,0,193000
Ron Dayne,NFC,Giants,RB,Offense,193000,1059000,1252000
Ron Dixon,NFC,Giants,WR,Offense,181600,156300,337900
Derek Engler,NFC,Giants,OL,Offense,385000,8200,393200
Sam Garnes,NFC,Giants,S,Defense,500000,428500,928500
Jason Garrett,NFC,Giants,QB,Offense,440000,86800,526800
Jack Golden,NFC,Giants,LB,Defense,193000,3300,196300
Cornelius Griffin,NFC,Giants,DT,Defense,307000,275000,582000
Ryan Hale,NFC,Giants,DT,Defense,275000,12500,287500
Keith Hamilton,NFC,Giants,DT,Defense,440000,2060300,2500300
Ike Hilliard,NFC,Giants,WR,Offense,387000,1278500,1665500
Jaret Holmes,NFC,Giants,P/K,Offense,275000,0,275000
Cedric Jones,NFC,Giants,DE,Defense,418700,1728400,2147100
Dhani Jones,NFC,Giants,LB,Defense,111000,21000,132000
Joe Jurevicius,NFC,Giants,WR,Offense,358000,175100,533100
Kevin Lewis,NFC,Giants,LB,Defense,193000,0,193000
Brad Maynard,NFC,Giants,P/K,Offense,472000,2700,474700
Emmanuel McDaniel,NFC,Giants,CB,Defense,385000,3500,388500
Ramos McDonald,NFC,Giants,CB,Defense,358000,0,358000
Pete Mitchell,NFC,Giants,TE,Offense,1050000,290500,1340500
Joe Montgomery,NFC,Giants,RB,Offense,300000,228500,528500
Pete Monty,NFC,Giants,LB,Defense,472000,3500,475500
Glenn Parker,NFC,Giants,OL,Offense,440000,144800,584800
Jeremiah Parker,NFC,Giants,DE,Defense,193000,10000,203000
Christian Peter,NFC,Giants,DT,Defense,472000,3100,475100
Luke Petitgout,NFC,Giants,OL,Offense,275000,778500,1053500
Ryan Phillips,NFC,Giants,LB,Defense,472000,3500,475500
Dawud Rasheed,NFC,Giants,RB,Offense,111000,2200,113200
Mike Rosenthal,NFC,Giants,OL,Offense,275000,35300,310300
Jason Sehorn,NFC,Giants,CB,Defense,3120000,2528000,5648000
Brandon Short,NFC,Giants,LB,Defense,193000,96700,289700
Reggie Stephens,NFC,Giants,CB,Defense,193000,5800,198800
Ron Stone,NFC,Giants,OL,Offense,440000,2246400,2686400
Omar Stoutmire,NFC,Giants,S,Defense,385000,0,385000
Michael Strahan,NFC,Giants,DE,Defense,4600000,3003000,7603000
Vernon Strickland,NFC,Giants,LB,Defense,111000,900,111900
Dave Thomas,NFC,Giants,CB,Defense,440000,102000,542000
Amani Toomer,NFC,Giants,WR,Offense,413000,1165500,1578500
Craig Walendy,NFC,Giants,RB,Offense,193000,200,193200
Andre Weathers,NFC,Giants,CB,Defense,275000,17800,292800
Lyle West,NFC,Giants,CB,Defense,275000,20200,295200
Jason Whittle,NFC,Giants,OL,Offense,275000,3500,278500
George Williams,NFC,Giants,DT,Defense,358000,3500,361500
Shaun Williams,NFC,Giants,S,Defense,358000,664000,1022000
Dusty Zeigler,NFC,Giants,OL,Offense,413000,383100,796100
Chris Ziemann,NFC,Giants,OL,Offense,154400,0,154400
David Akers,NFC,Eagles,P/K,Offense,275000,2700,277700
Darnell Autry,NFC,Eagles,RB,Offense,358000,3200,361200
Mike Bartrum,NFC,Eagles,TE,Offense,440000,25700,465700
Jason Bostic,NFC,Eagles,CB,Defense,250000,3900,253900
Luther Broughton,NFC,Eagles,TE,Offense,472000,2900,474900
Na Brown,NFC,Eagles,WR,Offense,275000,61300,336300
Doug Brzezinski,NFC,Eagles,OL,Offense,275000,151200,426200
JeRod Cherry,NFC,Eagles,CB,Defense,413000,0,413000
Rashard Cook,NFC,Eagles,S,Defense,275000,3000,278000
James Darling,NFC,Eagles,LB,Defense,472000,1200,473200
Brian Dawkins,NFC,Eagles,S,Defense,1260000,1067800,2327800
Koy Detmer,NFC,Eagles,QB,Offense,772000,101900,873900
Dameane Douglas,NFC,Eagles,WR,Offense,275000,3100,278100
Hugh Douglas,NFC,Eagles,DE,Defense,3250000,201800,3451800
Carlos Emmons,NFC,Eagles,LB,Defense,500000,1251900,1751900
Hank Fraley,NFC,Eagles,OL,Offense,193000,0,193000
Barry Gardner,NFC,Eagles,LB,Defense,275000,345300,620300
Paul Grasmanis,NFC,Eagles,DT,Defense,413000,23400,436400
Uhuru Hamiter,NFC,Eagles,DE,Defense,358000,0,358000
Thomas Hamner,NFC,Eagles,RB,Offense,193000,0,193000
Al Harris,NFC,Eagles,CB,Defense,450000,1100,451100
Tim Hauck,NFC,Eagles,S,Defense,440000,0,440000
Greg Jefferson,NFC,Eagles,DE,Defense,950000,202400,1152400
Charles Johnson,NFC,Eagles,WR,Offense,1825000,401800,2226800
Sean Landeta,NFC,Eagles,P/K,Offense,440000,75900,515900
Chad Lewis,NFC,Eagles,TE,Offense,472000,263000,735000
Mike Mamula,NFC,Eagles,DE,Defense,2000000,378100,2378100
Cecil Martin,NFC,Eagles,RB,Offense,275000,21800,296800
Jermane Mayberry,NFC,Eagles,OL,Offense,855000,582100,1437100
Donovan McNabb,NFC,Eagles,QB,Offense,275000,1616100,1891100
Giradie Mercer,NFC,Eagles,DT,Defense,111000,0,111000
Bubba Miller,NFC,Eagles,OL,Offense,450000,116900,566900
Brian Mitchell,NFC,Eagles,RB,Offense,450000,250000,700000
Damon Moore,NFC,Eagles,S,Defense,275000,65100,340100
Todd Pinkston,NFC,Eagles,WR,Offense,354000,260000,614000
Ron Powlus,NFC,Eagles,QB,Offense,193000,0,193000
Stanley Pritchett,NFC,Eagles,RB,Offense,600000,101500,701500
Ike Reese,NFC,Eagles,LB,Defense,358000,34400,392400
Jon Runyan,NFC,Eagles,OL,Offense,500000,4502600,5002600
Ryan Schau,NFC,Eagles,OL,Offense,275000,5700,280700
Gari Scott,NFC,Eagles,WR,Offense,193000,100000,293000
Corey Simon,NFC,Eagles,DT,Defense,475000,1240000,1715000
Torrance Small,NFC,Eagles,WR,Offense,1500000,688700,2188700
Duce Staley,NFC,Eagles,RB,Offense,1400000,267300,1667300
Bobby Taylor,NFC,Eagles,CB,Defense,3000000,251100,3251100
Hollis Thomas,NFC,Eagles,DT,Defense,1974300,470200,2444500
Tra Thomas,NFC,Eagles,OL,Offense,910000,1875100,2785100
Jeff Thomason,NFC,Eagles,TE,Offense,600000,3000,603000
Jeremiah Trotter,NFC,Eagles,LB,Defense,358000,108700,466700
Troy Vincent,NFC,Eagles,CB,Defense,2800000,600900,3400900
Darwin Walker,NFC,Eagles,DT,Defense,193000,0,193000
Chris Warren,NFC,Eagles,RB,Offense,715000,0,715000
John Welbourn,NFC,Eagles,OL,Offense,250000,94300,344300
Brandon Whiting,NFC,Eagles,DE,Defense,358000,79500,437500
Bobby Williams,NFC,Eagles,OL,Offense,193000,212500,405500
Stephen Alexander,NFC,Redskins,TE,Offense,388100,211400,599500
Gerard Arnold,NFC,Redskins,RB,Offense,111000,0,111000
LaVar Arrington,NFC,Redskins,LB,Defense,193000,1535700,1728700
Champ Bailey,NFC,Redskins,CB,Defense,275000,1246500,1521500
Shawn Barber,NFC,Redskins,LB,Defense,358000,83500,441500
Tommy Barnhardt,NFC,Redskins,P/K,Offense,440000,1300,441300
Scott Bentley,NFC,Redskins,P/K,Offense,275000,0,275000
Curtis Buckley,NFC,Redskins,S,Defense,440000,3800,443800
Mark Carrier,NFC,Redskins,S,Defense,414100,601300,1015400
Larry Centers,NFC,Redskins,RB,Offense,450000,412800,862800
Marco Coleman,NFC,Redskins,DE,Defense,500000,501900,1001900
Albert Connell,NFC,Redskins,WR,Offense,1027000,600,1027600
Stephen Davis,NFC,Redskins,RB,Offense,750000,1931800,2681800
Tyronne Drakeford,NFC,Redskins,CB,Defense,440000,0,440000
Ed Ellis,NFC,Redskins,OL,Offense,385000,0,385000
Mark Fischer,NFC,Redskins,OL,Offense,358000,39100,397100
Zeron Flemister,NFC,Redskins,TE,Offense,193000,1500,194500
Derrick Fletcher,NFC,Redskins,OL,Offense,275000,0,275000
Irving Fryar,NFC,Redskins,WR,Offense,800000,201300,1001300
Jeff George,NFC,Redskins,QB,Offense,500000,501300,1001300
Darrell Green,NFC,Redskins,CB,Defense,640000,967000,1607000
Derrick Ham,NFC,Redskins,DE,Defense,193000,0,193000
Lloyd Harrison,NFC,Redskins,CB,Defense,193000,125800,318800
Nolan Harrison,NFC,Redskins,DE,Defense,440000,600,440600
Andy Heck,NFC,Redskins,OL,Offense,450000,83900,533900
Skip Hicks,NFC,Redskins,RB,Offense,358000,136200,494200
Todd Husak,NFC,Redskins,QB,Offense,193000,15000,208000
Tony Hutson,NFC,Redskins,OL,Offense,385000,0,385000
Jon Jansen,NFC,Redskins,OL,Offense,275000,357600,632600
James Jenkins,NFC,Redskins,TE,Offense,450000,79500,529500
Brad Johnson,NFC,Redskins,QB,Offense,3025000,1327200,4352200
Tre Johnson,NFC,Redskins,OL,Offense,2164700,1300000,3464700
Greg Jones,NFC,Redskins,LB,Defense,385000,262500,647500
Ndukwe Kalu,NFC,Redskins,DE,Defense,472000,1600,473600
Kenard Lang,NFC,Redskins,DE,Defense,385000,691300,1076300
Jay Leeuwenburg,NFC,Redskins,OL,Offense,450000,25300,475300
Eddie Mason,NFC,Redskins,LB,Defense,385000,26300,411300
Tyrus McCloud,NFC,Redskins,LB,Defense,156000,5100,161100
Kevin Mitchell,NFC,Redskins,LB,Defense,440000,5100,445100
Michael Moore,NFC,Redskins,OL,Offense,193000,74200,267200
Eddie Murray,NFC,Redskins,P/K,Offense,440000,0,440000
Adrian Murrell,NFC,Redskins,RB,Offense,440000,1900,441900
Cory Raymer,NFC,Redskins,OL,Offense,450000,179800,629800
Andre Reed,NFC,Redskins,WR,Offense,500000,0,500000
Chris Samuels,NFC,Redskins,OL,Offense,193000,1428600,1621600
Deion Sanders,NFC,Redskins,CB,Defense,500000,1142900,1642900
Mike Sellers,NFC,Redskins,RB,Offense,358000,23700,381700
Sam Shade,NFC,Redskins,S,Defense,440000,1115500,1555500
Kenny Shedd,NFC,Redskins,WR,Offense,440000,0,440000
Keith Sims,NFC,Redskins,OL,Offense,450000,283300,733300
Bruce Smith,NFC,Redskins,DE,Defense,500000,850300,1350300
Derek Smith,NFC,Redskins,OL,Offense,250000,35100,285100
Derek Smith,NFC,Redskins,LB,Defense,472000,5100,477100
Dana Stubblefield,NFC,Redskins,DT,Defense,450000,3126900,3576900
David Terrell,NFC,Redskins,S,Defense,193000,5100,198100
Derrius Thompson,NFC,Redskins,WR,Offense,275000,0,275000
James Thrash,NFC,Redskins,WR,Offense,472000,5100,477100
Michael Westbrook,NFC,Redskins,WR,Offense,1633200,1455200,3088400
Dan Wilkinson,NFC,Redskins,DT,Defense,440000,2084200,2524200
Joe Zelenka,NFC,Redskins,OL,Offense,275000,1600,276600
Louie Aguiar,NFC,Bears,P/K,Offense,440000,0,440000
James Allen,NFC,Bears,RB,Offense,358000,3300,361300
John Allred,NFC,Bears,TE,Offense,472000,2200,474200
Reggie Austin,NFC,Bears,CB,Defense,193000,82700,275700
Jerry Azumah,NFC,Bears,CB,Defense,275000,35700,310700
Marlon Barnes,NFC,Bears,RB,Offense,193000,6400,199400
Brent Bartholomew,NFC,Bears,P/K,Offense,193000,2200,195200
DWayne Bates,NFC,Bears,WR,Offense,275000,145500,420500
Marty Booker,NFC,Bears,WR,Offense,275000,138200,413200
Blake Brockermeyer,NFC,Bears,OL,Offense,2500000,1325600,3825600
Macey Brooks,NFC,Bears,WR,Offense,472000,3700,475700
Mike Brown,NFC,Bears,S,Defense,262000,337500,599500
Rosevelt Colvin,NFC,Bears,LB,Defense,275000,87500,362500
Brad Culpepper,NFC,Bears,DT,Defense,440000,50000,490000
Phillip Daniels,NFC,Bears,DE,Defense,1000000,1852800,2852800
Cedric Donaldson,NFC,Bears,CB,Defense,111000,15200,126200
Scott Dragos,NFC,Bears,TE,Offense,193000,0,193000
Paul Edinger,NFC,Bears,P/K,Offense,193000,21700,214700
Bobby Engram,NFC,Bears,WR,Offense,900000,334900,1234900
Curtis Enis,NFC,Bears,RB,Offense,595000,1400000,1995000
Jim Flanigan,NFC,Bears,DT,Defense,2200000,803600,3003600
Michael Green,NFC,Bears,S,Defense,193000,7300,200300
Sean Harris,NFC,Bears,LB,Defense,800000,201200,1001200
Walt Harris,NFC,Bears,CB,Defense,932000,523400,1455400
Jimmy Herndon,NFC,Bears,OL,Offense,440000,408800,848800
Warrick Holdman,NFC,Bears,LB,Defense,233500,91200,324700
Eddie Kennison,NFC,Bears,WR,Offense,970000,50000,1020000
Olin Kreutz,NFC,Bears,OL,Offense,358000,150500,508500
Dustin Lyman,NFC,Bears,LB,Defense,193000,126300,319300
